8.223.63.189:443#HK [30.9ms 41.55Mbps]
47.239.231.121:443#HK [32.12ms 0.12Mbps]
47.83.14.42:8443#HK [32.17ms 11.11Mbps]
43.168.16.112:443#HK [32.82ms 42.94Mbps]
39.108.133.242:8443#CN [32.91ms 10.94Mbps]
159.75.175.197:2053#HK [32.92ms 0.03Mbps]
45.147.26.52:8443#HK [36.43ms 14.97Mbps]
185.243.240.111:443#HK [36.72ms 7.49Mbps]
154.219.103.79:443#HK [37.49ms 11.95Mbps]
70.39.206.3:443#HK [37.68ms 17.17Mbps]
8.216.6.167:443#JP [38.55ms 25.16Mbps]
8.210.29.68:443#HK [38.71ms 15.61Mbps]
47.242.28.106:443#JP [39.8ms 0.96Mbps]
8.209.231.3:443#JP [40.47ms 0.87Mbps]
216.23.86.110:8443#JP [43.64ms 15.66Mbps]
114.33.57.170:443#TW [46.16ms 23.59Mbps]
216.23.86.62:2053#JP [46.16ms 20.87Mbps]
129.154.50.159:443#KR [46.86ms 39.3Mbps]
45.78.33.200:8443#JP [46.99ms 26.33Mbps]
149.62.44.146:443#JP [47.31ms 21.14Mbps]
140.235.37.58:443#JP [54.19ms 15.48Mbps]
156.231.113.204:443#JP [54.57ms 0.0Mbps]
156.231.115.146:443#JP [56.85ms 6.34Mbps]
43.156.116.194:443#SG [65.9ms 0.0Mbps]
168.107.13.136:8443#KR [66.88ms 21.5Mbps]
47.57.181.17:443#US [70.5ms 1.85Mbps]
96.126.190.196:443#MY [79.82ms 0.03Mbps]
139.99.124.165:443#SG [93.24ms 1.35Mbps]
52.77.224.71:443#SG [94.46ms 2.25Mbps]
149.248.199.173:443#DE [95.77ms 1.57Mbps]
185.229.222.64:8443#SG [95.86ms 11.07Mbps]
43.133.110.81:443#TH [96.38ms 12.8Mbps]
5.223.56.239:8443#SG [96.96ms 12.84Mbps]
5.223.56.239:2053#SG [97.22ms 10.5Mbps]
5.223.52.82:443#SG [98.01ms 8.02Mbps]
5.34.176.162:8443#SG [98.36ms 1.0Mbps]
143.42.66.91:443#SG [98.82ms 2.8Mbps]
3.1.116.161:8443#SG [99.0ms 6.72Mbps]
163.61.103.239:443#MY [100.88ms 0.0Mbps]
38.54.112.233:443#MY [103.39ms 5.05Mbps]
138.2.85.81:2083#TH [107.18ms 11.02Mbps]
161.248.31.35:443#VN [107.57ms 8.89Mbps]
103.137.63.227:8443#TW [108.42ms 0.28Mbps]
160.22.16.187:443#VN [113.2ms 12.13Mbps]
109.71.242.243:8443#RU [113.78ms 11.46Mbps]
172.232.226.233:443#ID [116.04ms 11.58Mbps]
43.200.87.5:443#KR [121.39ms 12.28Mbps]
123.58.199.241:443#VN [127.13ms 2.16Mbps]
13.204.131.122:443#IN [131.43ms 0.0Mbps]
154.17.31.82:443#US [131.94ms 10.66Mbps]
64.186.236.235:443#US [132.01ms 11.48Mbps]
154.21.91.144:8443#US [132.15ms 10.09Mbps]
154.21.90.126:8443#US [132.33ms 11.01Mbps]
38.55.108.71:443#US [132.59ms 10.4Mbps]
154.26.186.47:443#US [132.69ms 10.79Mbps]
43.153.105.7:443#US [132.77ms 0.72Mbps]
154.17.20.7:443#US [132.99ms 10.63Mbps]
45.154.24.170:443#TH [133.63ms 0.0Mbps]
64.186.230.189:8443#US [133.66ms 10.77Mbps]
45.150.128.159:443#TH [135.23ms 10.95Mbps]
93.123.84.194:443#DE [136.2ms 10.74Mbps]
144.31.63.230:443#DE [137.44ms 7.48Mbps]
138.124.54.152:443#DE [140.01ms 9.56Mbps]
91.132.160.61:443#DE [141.28ms 5.91Mbps]
20.174.15.226:443#AE [142.04ms 10.91Mbps]
185.185.59.232:8443#RU [142.74ms 0.02Mbps]
207.180.209.128:443#FR [143.79ms 5.99Mbps]
87.120.92.150:8443#DE [143.8ms 8.93Mbps]
80.253.249.228:443#DE [143.83ms 7.18Mbps]
5.181.187.53:443#DE [143.99ms 8.2Mbps]
64.188.68.254:8443#DE [144.72ms 1.07Mbps]
185.100.159.9:8443#DE [144.79ms 8.25Mbps]
144.31.122.181:2053#NL [145.58ms 8.22Mbps]
46.226.163.188:443#NL [145.77ms 0.0Mbps]
20.219.46.208:8443#IN [146.53ms 3.54Mbps]
62.60.247.217:443#GB [146.77ms 1.22Mbps]
46.8.229.218:8443#NL [146.92ms 7.52Mbps]
109.123.240.251:443#FR [147.02ms 4.97Mbps]
157.173.97.132:443#FR [147.17ms 7.19Mbps]
213.136.92.4:443#FR [147.73ms 6.01Mbps]
193.177.221.29:443#AU [148.48ms 9.11Mbps]
185.138.88.7:443#NL [149.81ms 10.66Mbps]
77.73.135.119:2053#GB [149.84ms 9.3Mbps]
212.69.87.98:443#NL [150.35ms 6.82Mbps]
62.133.61.192:443#NL [151.04ms 7.56Mbps]
188.253.26.205:443#NL [151.1ms 3.84Mbps]
31.15.18.58:2053#NL [151.14ms 7.47Mbps]
132.243.203.247:8443#AT [151.27ms 9.85Mbps]
217.60.63.232:8443#FR [151.55ms 5.63Mbps]
95.169.192.231:8443#NL [151.92ms 9.89Mbps]
193.56.8.103:8443#NL [151.98ms 6.61Mbps]
94.183.188.139:8443#FR [152.04ms 5.47Mbps]
46.102.157.145:8443#AT [153.01ms 6.86Mbps]
217.60.5.72:8443#FR [153.56ms 10.39Mbps]
132.243.204.234:8443#FR [154.21ms 6.35Mbps]
89.208.97.13:443#FR [154.25ms 7.58Mbps]
147.45.69.49:443#GB [154.62ms 5.64Mbps]
139.84.168.252:2053#IN [155.29ms 9.57Mbps]
185.179.82.201:443#BY [155.31ms 0.25Mbps]
139.84.168.252:8443#IN [155.42ms 10.89Mbps]
45.59.122.134:8443#CH [155.44ms 8.92Mbps]
43.218.77.16:443#ID [156.64ms 0.0Mbps]
62.60.246.98:443#FR [156.65ms 0.59Mbps]
45.150.33.143:443#GB [156.92ms 5.32Mbps]
213.176.113.98:2053#GB [158.9ms 10.1Mbps]
91.90.193.24:443#CH [158.96ms 8.99Mbps]
151.241.215.148:443#IT [159.33ms 7.67Mbps]
132.243.203.120:8443#AT [161.07ms 6.14Mbps]
213.176.92.138:443#GB [161.19ms 0.0Mbps]
157.180.66.240:443#FI [161.26ms 0.21Mbps]
132.243.203.217:8443#AT [161.29ms 6.19Mbps]
62.60.247.201:443#GB [161.46ms 5.87Mbps]
5.188.26.9:443#RU [161.67ms 2.5Mbps]
38.180.225.181:443#HU [162.1ms 6.61Mbps]
45.59.124.93:443#CH [162.64ms 4.91Mbps]
84.253.122.138:8443#RU [163.51ms 0.03Mbps]
5.182.38.111:443#HU [163.98ms 7.15Mbps]
138.124.53.251:443#GB [165.04ms 9.11Mbps]
5.181.2.71:443#HR [165.05ms 8.66Mbps]
77.110.97.92:443#GB [166.49ms 6.26Mbps]
44.32.224.198:443#CA [166.69ms 3.62Mbps]
44.32.224.206:2053#CA [166.7ms 9.31Mbps]
146.59.18.234:443#PL [167.02ms 0.27Mbps]
132.243.161.155:2053#CH [167.52ms 8.2Mbps]
213.165.38.161:443#GB [167.6ms 0.06Mbps]
138.124.112.224:2096#FI [168.22ms 0.0Mbps]
109.107.190.141:443#FI [168.59ms 0.0Mbps]
46.102.157.145:443#AT [168.66ms 6.93Mbps]
45.144.30.222:443#RU [169.15ms 9.02Mbps]
5.129.246.116:443#RU [169.32ms 0.83Mbps]
147.45.99.92:443#RU [169.37ms 7.98Mbps]
132.243.203.224:8443#AT [170.22ms 8.13Mbps]
152.67.64.55:443#CH [170.41ms 7.89Mbps]
45.136.71.201:443#DK [170.81ms 9.5Mbps]
149.33.15.96:2053#CH [171.08ms 8.37Mbps]
45.89.66.156:443#RU [171.17ms 6.15Mbps]
138.124.118.236:443#SE [171.2ms 8.2Mbps]
85.239.39.144:443#RU [171.42ms 6.59Mbps]
83.147.216.31:443#FI [171.66ms 0.0Mbps]
80.211.48.113:443#IT [171.68ms 5.78Mbps]
84.253.122.138:2053#RU [171.85ms 0.03Mbps]
195.123.244.83:443#CZ [172.3ms 7.44Mbps]
83.147.216.34:443#FI [172.52ms 5.96Mbps]
46.226.164.229:443#SE [173.3ms 0.11Mbps]
20.235.105.146:443#IN [174.14ms 9.58Mbps]
152.53.44.234:2053#AT [174.17ms 0.27Mbps]
83.147.254.168:443#SE [175.3ms 0.0Mbps]
194.48.140.83:8443#FI [176.14ms 8.8Mbps]
193.180.211.40:443#DK [176.27ms 10.13Mbps]
23.173.104.221:2053#CA [176.75ms 2.6Mbps]
45.86.228.104:443#AE [177.37ms 0.0Mbps]
185.66.71.149:2053#BY [177.42ms 5.37Mbps]
202.27.229.7:443#AU [177.69ms 5.64Mbps]
84.19.3.71:443#FI [177.74ms 5.93Mbps]
150.242.90.205:443#CA [178.08ms 8.74Mbps]
45.8.147.11:443#BA [178.29ms 7.99Mbps]
132.243.203.242:8443#AT [178.87ms 11.03Mbps]
176.125.240.3:2053#SE [178.87ms 6.13Mbps]
95.156.204.82:8443#PL [178.9ms 1.51Mbps]
213.21.222.110:443#LV [178.99ms 8.99Mbps]
91.219.237.49:443#HU [179.16ms 1.0Mbps]
45.67.34.89:8443#RO [179.23ms 6.3Mbps]
95.216.209.182:443#FI [179.28ms 0.26Mbps]
44.32.224.198:2053#CA [179.8ms 3.7Mbps]
45.80.231.240:8443#SE [179.82ms 0.02Mbps]
23.173.104.216:2053#CA [179.89ms 8.62Mbps]
195.66.87.202:443#FI [179.98ms 4.06Mbps]
83.219.250.221:443#SE [180.01ms 7.08Mbps]
80.78.23.165:443#DK [180.33ms 8.28Mbps]
31.58.171.7:2053#FI [180.66ms 3.92Mbps]
192.145.30.213:443#SE [180.7ms 2.7Mbps]
38.180.194.222:2053#IT [180.92ms 4.44Mbps]
176.124.220.32:443#SE [180.96ms 6.98Mbps]
91.245.225.79:2053#CH [181.63ms 7.12Mbps]
195.86.215.26:443#PH [181.65ms 4.69Mbps]
185.151.246.220:443#PL [181.72ms 6.4Mbps]
91.186.218.221:443#SE [181.99ms 7.29Mbps]
4.244.106.243:443#QA [182.04ms 0.3Mbps]
195.123.215.250:8443#LV [182.24ms 2.55Mbps]
38.54.8.167:443#AE [182.31ms 7.35Mbps]
45.142.215.61:443#LV [182.55ms 0.0Mbps]
89.46.236.145:443#RS [183.41ms 6.77Mbps]
23.173.104.215:2053#CA [183.71ms 7.6Mbps]
70.34.194.199:443#SE [183.93ms 0.84Mbps]
31.133.0.240:2053#PL [184.02ms 6.6Mbps]
91.245.225.79:8443#CH [184.23ms 6.15Mbps]
195.181.244.240:8443#LT [184.4ms 0.28Mbps]
45.12.131.34:8443#PT [184.54ms 8.73Mbps]
194.246.118.199:443#CH [185.9ms 0.21Mbps]
94.131.3.151:443#CH [185.94ms 6.41Mbps]
185.203.119.166:2053#BG [186.23ms 6.46Mbps]
51.83.167.125:443#PL [186.37ms 2.26Mbps]
45.136.198.114:8443#BG [186.67ms 6.69Mbps]
45.149.63.135:2053#PL [187.04ms 6.47Mbps]
31.58.77.194:2053#LV [187.17ms 1.0Mbps]
45.66.11.133:8443#PL [187.96ms 0.72Mbps]
91.147.92.192:443#KZ [188.04ms 4.95Mbps]
45.12.28.108:443#EE [188.09ms 3.32Mbps]
194.4.48.172:443#ES [188.78ms 8.5Mbps]
89.126.229.173:443#PL [189.69ms 2.64Mbps]
95.164.21.123:443#BG [189.83ms 8.48Mbps]
150.241.121.190:443#CZ [190.37ms 0.52Mbps]
91.239.23.10:443#LV [190.52ms 2.91Mbps]
38.180.18.43:8443#BE [190.83ms 1.72Mbps]
91.201.214.192:443#KZ [191.15ms 8.15Mbps]
45.82.255.2:443#PL [191.38ms 6.7Mbps]
2.59.163.74:443#PL [191.7ms 5.18Mbps]
44.32.224.206:443#CA [191.74ms 8.25Mbps]
23.173.104.204:2053#CA [192.37ms 3.42Mbps]
185.4.72.110:8443#EE [192.47ms 2.43Mbps]
185.253.46.31:443#CZ [192.58ms 7.41Mbps]
217.60.4.19:443#LV [192.75ms 6.01Mbps]
23.173.104.225:2053#CA [192.77ms 3.8Mbps]
185.248.184.201:2053#TW [193.19ms 0.65Mbps]
91.218.212.223:443#UA [194.99ms 2.53Mbps]
79.117.46.26:8443#ES [195.73ms 0.54Mbps]
72.56.52.196:2053#LV [196.04ms 0.1Mbps]
195.123.212.215:443#LV [196.13ms 0.3Mbps]
91.219.236.202:8443#HU [196.49ms 8.11Mbps]
195.123.212.215:2053#LV [198.49ms 7.42Mbps]
103.231.72.6:8443#LT [198.78ms 0.32Mbps]
31.58.77.194:8443#LV [198.86ms 8.01Mbps]
159.253.21.228:443#EE [199.53ms 6.12Mbps]
91.250.248.151:443#GR [200.21ms 2.1Mbps]
45.12.136.62:2053#LT [200.34ms 7.79Mbps]
217.61.61.242:443#IT [200.99ms 7.55Mbps]
45.153.48.157:443#DK [201.07ms 5.9Mbps]
103.231.72.6:2053#LT [201.15ms 0.55Mbps]
94.131.13.110:443#LT [201.68ms 7.29Mbps]
89.150.40.152:443#EE [201.8ms 0.26Mbps]
45.15.170.209:8443#AL [201.8ms 0.13Mbps]
185.237.185.110:2053#LT [201.86ms 9.01Mbps]
5.45.117.125:443#EE [202.09ms 6.49Mbps]
152.53.67.107:443#AT [202.18ms 7.16Mbps]
45.148.31.73:443#DK [202.55ms 7.46Mbps]
193.180.212.103:443#DK [202.77ms 8.23Mbps]
94.176.235.22:443#LT [202.89ms 8.29Mbps]
185.119.117.146:8443#AT [203.14ms 7.83Mbps]
83.97.77.63:2053#KZ [203.15ms 2.37Mbps]
158.247.246.18:443#KR [203.48ms 7.3Mbps]
193.180.209.21:443#DK [204.22ms 8.4Mbps]
193.181.214.98:8443#DK [204.85ms 1.36Mbps]
93.85.88.60:2053#BY [205.34ms 2.17Mbps]
46.36.217.167:443#EE [206.58ms 0.0Mbps]
91.219.236.202:2053#HU [207.01ms 5.87Mbps]
