159.75.175.197:2053#HK [46ms]
43.168.16.112:443#HK [47ms]
8.223.63.189:443#HK [47ms]
123.254.106.203:443#HK [62ms]
45.78.33.200:8443#JP [47ms]
156.231.115.146:443#JP [63ms]
151.245.106.81:443#KR [47ms]
168.107.13.136:8443#KR [94ms]
123.111.169.70:2053#KR [125ms]
123.111.169.70:2087#KR [125ms]
123.111.169.70:2096#KR [125ms]
52.230.95.97:443#SG [94ms]
5.223.52.82:443#SG [109ms]
5.223.56.239:2053#SG [109ms]
125.228.236.138:443#TW [47ms]
114.33.57.170:443#TW [62ms]
38.59.241.94:8443#US [140ms]
