39.108.133.242:8443#🇨🇳 CN⚡[32.81ms-10.69Mbps]
156.226.173.88:443#🇭🇰 HK[40.77ms-2.51Mbps]
149.104.4.249:2053#🇭🇰 HK[40.79ms-0.0Mbps]
154.12.188.42:2053#🇭🇰 HK[41.15ms-0.0Mbps]
45.135.119.123:443#🇭🇰 HK[41.78ms-0.0Mbps]
45.221.112.81:443#🇭🇰 HK[42.36ms-0.0Mbps]
219.76.13.169:443#🇭🇰 HK[42.6ms-4.03Mbps]
219.76.13.166:443#🇭🇰 HK[42.67ms-0.0Mbps]
219.76.13.183:443#🇭🇰 HK[42.95ms-3.69Mbps]
151.242.125.226:443#🇭🇰 HK[43.37ms-0.0Mbps]
70.36.96.118:443#🇭🇰 HK[43.62ms-0.0Mbps]
45.202.246.172:443#🌐 MO[45.62ms-3.82Mbps]
47.242.28.106:443#🇯🇵 JP[46.04ms-0.11Mbps]
43.207.197.79:443#🇯🇵 JP[46.71ms-0.48Mbps]
172.105.240.40:443#🇯🇵 JP[47.1ms-0.0Mbps]
8.209.231.3:443#🇯🇵 JP[50.54ms-0.0Mbps]
54.238.157.207:443#🇯🇵 JP[52.36ms-0.0Mbps]
45.78.33.200:8443#🇯🇵 JP[52.67ms-0.0Mbps]
64.176.53.158:443#🇯🇵 JP[53.94ms-0.0Mbps]
64.176.36.61:443#🇯🇵 JP[57.03ms-0.83Mbps]
45.8.115.105:2096#🇯🇵 JP[57.74ms-0.0Mbps]
64.176.36.17:443#🇯🇵 JP[58.7ms-0.97Mbps]
43.200.87.5:443#🇰🇷 KR[61.99ms-0.0Mbps]
167.172.75.2:443#🇸🇬 SG[72.6ms-0.0Mbps]
185.128.227.27:443#🌐 MY[73.12ms-0.24Mbps]
139.162.16.236:2053#🇸🇬 SG[73.21ms-0.34Mbps]
172.104.53.198:443#🇸🇬 SG[73.26ms-0.0Mbps]
150.109.11.223:443#🇸🇬 SG[73.66ms-0.0Mbps]
138.2.85.81:2083#🇹🇭 TH[73.8ms-0.26Mbps]
129.212.239.183:443#🇸🇬 SG[74.03ms-0.25Mbps]
139.162.62.195:443#🇸🇬 SG[74.54ms-0.0Mbps]
158.178.229.178:443#🇸🇬 SG[74.7ms-3.62Mbps]
188.239.9.91:443#🇸🇬 SG[74.83ms-5.44Mbps]
128.199.128.117:443#🇸🇬 SG[75.17ms-0.21Mbps]
103.137.63.227:8443#🇹🇼 TW[75.25ms-0.0Mbps]
159.223.62.202:443#🇸🇬 SG[75.57ms-2.34Mbps]
43.169.18.179:443#🇺🇸 US[76.23ms-0.0Mbps]
146.56.188.74:443#🇰🇷 KR[76.77ms-0.0Mbps]
151.245.106.81:443#🇰🇷 KR[78.52ms-0.0Mbps]
131.186.27.112:2096#🇰🇷 KR[78.71ms-0.0Mbps]
172.232.226.233:443#🇮🇩 ID[81.0ms-0.45Mbps]
23.27.28.216:8443#🌐 MY[82.99ms-0.3Mbps]
152.70.253.84:8443#🇰🇷 KR[83.19ms-0.0Mbps]
43.218.77.16:443#🇮🇩 ID[91.7ms-0.21Mbps]
195.86.13.120:443#🇮🇩 ID[93.35ms-3.04Mbps]
43.133.110.81:443#🇹🇭 TH[96.2ms-0.14Mbps]
45.154.24.89:443#🇹🇭 TH[101.35ms-1.21Mbps]
45.150.128.181:443#🇹🇭 TH[102.08ms-4.47Mbps]
123.58.199.241:443#🇻🇳 VN[103.32ms-0.0Mbps]
45.150.128.159:443#🇹🇭 TH[103.56ms-5.04Mbps]
45.154.24.170:443#🇹🇭 TH[105.15ms-2.96Mbps]
43.229.148.43:443#🇹🇭 TH[105.46ms-3.7Mbps]
45.136.254.175:443#🇹🇭 TH[108.52ms-1.76Mbps]
43.229.148.110:443#🇹🇭 TH[109.41ms-1.49Mbps]
202.184.108.239:8443#🌐 MY[109.5ms-0.28Mbps]
143.110.247.61:443#🇮🇳 IN[115.26ms-0.11Mbps]
119.205.235.58:443#🇰🇷 KR[117.62ms-0.9Mbps]
156.244.1.250:8443#🇮🇩 ID[118.37ms-2.67Mbps]
143.110.178.130:443#🇮🇳 IN[118.78ms-0.0Mbps]
143.110.247.61:8443#🇮🇳 IN[119.05ms-0.27Mbps]
143.110.247.61:2053#🇮🇳 IN[119.11ms-0.0Mbps]
64.227.174.213:8443#🇮🇳 IN[125.87ms-0.12Mbps]
20.219.46.208:8443#🇮🇳 IN[130.64ms-0.0Mbps]
158.247.246.18:443#🇰🇷 KR[131.54ms-0.0Mbps]
103.181.177.88:443#🇮🇳 IN[131.64ms-0.0Mbps]
20.235.220.189:443#🇮🇳 IN[132.59ms-0.0Mbps]
45.147.48.147:443#🇩🇪 DE[137.34ms-0.0Mbps]
64.186.236.235:443#🇺🇸 US[137.76ms-0.0Mbps]
45.89.105.65:2053#🇮🇳 IN[139.32ms-0.0Mbps]
129.154.251.13:443#🇮🇳 IN[139.38ms-0.0Mbps]
64.186.232.219:443#🇺🇸 US[139.41ms-0.0Mbps]
154.26.176.148:8443#🇺🇸 US[139.88ms-0.0Mbps]
154.17.20.7:8443#🇺🇸 US[139.98ms-0.0Mbps]
154.17.20.161:443#🇺🇸 US[140.11ms-0.0Mbps]
64.186.227.44:8443#🇺🇸 US[140.3ms-0.0Mbps]
64.186.237.92:8443#🇺🇸 US[140.48ms-0.0Mbps]
154.17.25.156:8443#🇺🇸 US[140.54ms-0.0Mbps]
154.17.3.204:8443#🇺🇸 US[140.92ms-0.0Mbps]
188.95.70.31:8443#🇩🇪 DE[145.52ms-0.0Mbps]
38.54.112.233:443#🌐 MY[146.93ms-0.27Mbps]
147.78.0.186:2053#🇦🇪 AE[147.85ms-0.18Mbps]
147.78.0.186:8443#🇦🇪 AE[149.23ms-0.17Mbps]
45.86.228.104:443#🇦🇪 AE[150.27ms-0.18Mbps]
193.123.74.174:8443#🇦🇪 AE[152.02ms-0.45Mbps]
38.54.8.167:443#🇦🇪 AE[154.44ms-0.2Mbps]
209.38.22.182:443#🇦🇺 AU[161.32ms-0.0Mbps]
185.169.234.13:443#🇬🇧 GB[162.74ms-0.1Mbps]
176.97.68.17:443#🇦🇺 AU[163.2ms-0.0Mbps]
132.243.195.47:8443#🇬🇧 GB[163.31ms-0.0Mbps]
132.243.195.48:8443#🇬🇧 GB[163.45ms-0.0Mbps]
18.134.196.127:443#🇬🇧 GB[163.99ms-0.0Mbps]
132.243.195.26:8443#🇬🇧 GB[164.12ms-0.0Mbps]
43.245.227.108:2053#🇬🇧 GB[164.79ms-0.0Mbps]
147.90.26.94:443#🇫🇷 FR[164.88ms-0.0Mbps]
132.243.195.50:8443#🇬🇧 GB[165.69ms-0.0Mbps]
170.64.237.192:443#🇦🇺 AU[166.28ms-0.0Mbps]
147.90.26.15:443#🇫🇷 FR[167.16ms-0.0Mbps]
147.90.26.38:443#🇫🇷 FR[167.24ms-0.16Mbps]
151.244.132.39:443#🇫🇷 FR[167.74ms-0.0Mbps]
2.27.169.140:443#🇳🇱 NL[167.76ms-0.11Mbps]
147.90.26.17:443#🇫🇷 FR[167.83ms-0.0Mbps]
222.167.217.221:8443#🇳🇱 NL[167.98ms-0.07Mbps]
147.90.26.77:443#🇫🇷 FR[168.14ms-0.0Mbps]
91.227.62.63:443#🇬🇧 GB[168.67ms-0.72Mbps]
147.90.26.24:443#🇫🇷 FR[168.69ms-0.0Mbps]
178.173.254.224:443#🇳🇱 NL[168.87ms-0.0Mbps]
170.64.163.39:443#🇦🇺 AU[168.98ms-0.0Mbps]
5.129.233.22:443#🇳🇱 NL[169.02ms-0.0Mbps]
147.90.26.92:443#🇫🇷 FR[169.08ms-0.0Mbps]
147.90.26.89:443#🇫🇷 FR[169.27ms-0.0Mbps]
170.64.245.159:443#🇦🇺 AU[169.36ms-0.0Mbps]
147.90.26.8:443#🇫🇷 FR[169.39ms-0.0Mbps]
147.45.244.217:2053#🇳🇱 NL[169.64ms-0.0Mbps]
